reason,game,date,player,market,book,line,details
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cameron Johnson",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cam Thomas",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Clint Capela",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"De'Andre Hunter",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dennis Schroder",assists,draftkings,6.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dorian Finney-Smith",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dyson Daniels",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Jalen Johnson",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Nicolas Claxton",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Trae Young",assists,draftkings,10.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Bogdan Bogdanovic",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cameron Johnson",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cam Thomas",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Clint Capela",rebounds,draftkings,9.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"De'Andre Hunter",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dennis Schroder",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dorian Finney-Smith",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dyson Daniels",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Jalen Johnson",rebounds,draftkings,8.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Nicolas Claxton",rebounds,draftkings,9.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Trae Young",rebounds,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Nicolas Claxton",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Bogdan Bogdanovic",assists,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Jalen Johnson",assists,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dennis Schroder",assists,fanduel,6.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cam Thomas",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Trae Young",assists,fanduel,10.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Nicolas Claxton",rebounds,fanduel,9.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Clint Capela",rebounds,fanduel,9.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cam Thomas",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Jalen Johnson",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Cameron Johnson",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dorian Finney-Smith",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"De'Andre Hunter",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Bogdan Bogdanovic",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Dennis Schroder",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Brooklyn Nets @ Atlanta Hawks",2024-10-22,"Trae Young",rebounds,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Darius Garland",assists,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Donovan Mitchell",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Evan Mobley",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Gradey Dick",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Immanuel Quickley",assists,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jarrett Allen",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Scottie Barnes",assists,draftkings,6.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Darius Garland",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Donovan Mitchell",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Evan Mobley",rebounds,draftkings,9.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Gradey Dick",rebounds,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Immanuel Quickley",rebounds,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jakob Poeltl",rebounds,draftkings,8.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jarrett Allen",rebounds,draftkings,10.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Scottie Barnes",rebounds,draftkings,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Darius Garland",assists,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jarrett Allen",assists,fanduel,2.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Evan Mobley",assists,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Scottie Barnes",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Immanuel Quickley",assists,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Donovan Mitchell",assists,fanduel,5.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Immanuel Quickley",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Gradey Dick",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Scottie Barnes",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Evan Mobley",rebounds,fanduel,9.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jakob Poeltl",rebounds,fanduel,7.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Darius Garland",rebounds,fanduel,3.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Donovan Mitchell",rebounds,fanduel,4.5,"{"gamesAvailable":0}"
insufficient_history,"Cleveland Cavaliers @ Toronto Raptors",2024-10-22,"Jarrett Allen",rebounds,fanduel,10.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Bam Adebayo",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Duncan Robinson",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Franz Wagner",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Jalen Suggs",assists,draftkings,3.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Jimmy Butler",assists,draftkings,4.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Kentavious Caldwell-Pope",assists,draftkings,1.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Nikola Jovic",assists,draftkings,2.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Paolo Banchero",assists,draftkings,5.5,"{"gamesAvailable":0}"
insufficient_history,"Orlando Magic @ Miami Heat",2024-10-22,"Terry Rozier",assists,draftkings,3.5,"{"gamesAvailable":0}"
