market,threshold,model,train_years,test_year,n_train,n_test,base_rate,auc,brier_model,brier_naive,brier_improvement,logloss_model,logloss_naive,logloss_improvement,cal_slope,cal_intercept,ece,is_monotonic,p_model_min,p_model_max,p_model_mean,p_model_std
F5_TeamTotals_home,over_2.0,LightGBM,2022,2023,2430,2430,0.4506,0.5244,0.265435,0.247561,-0.017873,0.7333,0.6883,-0.045,0.1393,-0.1315,0.1151,True,0.054672,0.83664,0.392163,0.145865
F5_TeamTotals_home,over_2.0,LogReg,2022-2023,2024,4860,2430,0.416,0.5486,0.248901,0.242952,-0.005949,0.697,0.679,-0.018,0.2404,-0.281,0.0677,True,0.015798,0.999976,0.442339,0.121816
F5_TeamTotals_home,over_2.0,LightGBM,2022-2023,2024,4860,2430,0.416,0.5463,0.249321,0.242952,-0.006369,0.6944,0.679,-0.0154,0.271,-0.262,0.0684,False,0.060891,0.811079,0.432657,0.12289
F5_TeamTotals_home,over_2.0,LogReg,2022-2023-2024,2025,7290,2430,0.4313,0.5372,0.249475,0.245277,-0.004198,0.6942,0.6837,-0.0105,0.2725,-0.195,0.0583,True,0.101443,0.990794,0.42769,0.103852
F5_TeamTotals_home,over_2.0,LightGBM,2022-2023-2024,2025,7290,2430,0.4313,0.5355,0.250358,0.245277,-0.005081,0.6949,0.6837,-0.0112,0.28,-0.1837,0.0677,True,0.076367,0.763097,0.420589,0.107708
F5_TeamTotals_home,over_2.5,LogReg,2022,2023,2430,2430,0.4506,0.5249,0.272651,0.247561,-0.025089,0.7563,0.6883,-0.068,0.1124,-0.1274,0.1377,True,0.000124,1.0,0.362032,0.154058
F5_TeamTotals_home,over_2.5,LightGBM,2022,2023,2430,2430,0.4506,0.5244,0.265435,0.247561,-0.017873,0.7333,0.6883,-0.045,0.1393,-0.1315,0.1151,True,0.054672,0.83664,0.392163,0.145865
F5_TeamTotals_home,over_2.5,LogReg,2022-2023,2024,4860,2430,0.416,0.5486,0.248901,0.242952,-0.005949,0.697,0.679,-0.018,0.2404,-0.281,0.0677,True,0.015798,0.999976,0.442339,0.121816
F5_TeamTotals_home,over_2.5,LightGBM,2022-2023,2024,4860,2430,0.416,0.5463,0.249321,0.242952,-0.006369,0.6944,0.679,-0.0154,0.271,-0.262,0.0684,False,0.060891,0.811079,0.432657,0.12289
F5_TeamTotals_home,over_2.5,LogReg,2022-2023-2024,2025,7290,2430,0.4313,0.5372,0.249475,0.245277,-0.004198,0.6942,0.6837,-0.0105,0.2725,-0.195,0.0583,True,0.101443,0.990794,0.42769,0.103852
F5_TeamTotals_home,over_2.5,LightGBM,2022-2023-2024,2025,7290,2430,0.4313,0.5355,0.250358,0.245277,-0.005081,0.6949,0.6837,-0.0112,0.28,-0.1837,0.0677,True,0.076367,0.763097,0.420589,0.107708
F5_TeamTotals_home,over_3.0,LogReg,2022,2023,2430,2430,0.3078,0.5171,0.23169,0.213066,-0.018624,0.6833,0.6173,-0.066,0.0643,-0.7326,0.1198,False,0.001224,1.0,0.253739,0.139402
F5_TeamTotals_home,over_3.0,LightGBM,2022,2023,2430,2430,0.3078,0.5179,0.229527,0.213066,-0.016461,0.6749,0.6173,-0.0575,0.0928,-0.6916,0.1074,True,0.024066,0.707835,0.238922,0.125144
F5_TeamTotals_home,over_3.0,LogReg,2022-2023,2024,4860,2430,0.2901,0.5553,0.210999,0.205952,-0.005047,0.6207,0.6023,-0.0185,0.24,-0.6876,0.0704,True,0.010727,0.999909,0.305708,0.118338
F5_TeamTotals_home,over_3.0,LightGBM,2022-2023,2024,4860,2430,0.2901,0.5563,0.208167,0.205952,-0.002215,0.6098,0.6023,-0.0076,0.3744,-0.521,0.0584,True,0.051428,0.707436,0.277604,0.105555
F5_TeamTotals_home,over_3.0,LogReg,2022-2023-2024,2025,7290,2430,0.3037,0.5547,0.212939,0.211468,-0.001471,0.6184,0.614,-0.0044,0.4095,-0.4563,0.0543,True,0.0154,0.649654,0.292454,0.09715
F5_TeamTotals_home,over_3.0,LightGBM,2022-2023-2024,2025,7290,2430,0.3037,0.5281,0.216054,0.211468,-0.004586,0.6266,0.614,-0.0126,0.2543,-0.58,0.068,True,0.070193,0.656707,0.279622,0.092238
F5_TeamTotals_away,over_1.5,LogReg,2022,2023,2430,2430,0.5823,0.5105,0.285161,0.243226,-0.041935,0.7888,0.6795,-0.1092,0.0317,0.3341,0.1652,False,0.000803,0.999991,0.489095,0.192698
F5_TeamTotals_away,over_1.5,LightGBM,2022,2023,2430,2430,0.5823,0.539,0.264359,0.243226,-0.021133,0.7289,0.6795,-0.0494,0.1809,0.314,0.1238,True,0.080857,0.925327,0.52444,0.170826
F5_TeamTotals_away,over_1.5,LogReg,2022-2023,2024,4860,2430,0.565,0.5439,0.251002,0.245772,-0.00523,0.6981,0.6847,-0.0134,0.2691,0.2,0.063,False,0.136565,0.994789,0.554444,0.115893
F5_TeamTotals_away,over_1.5,LightGBM,2022-2023,2024,4860,2430,0.565,0.5367,0.253607,0.245772,-0.007834,0.7025,0.6847,-0.0178,0.2503,0.1866,0.086,True,0.140578,0.935708,0.570867,0.127488
F5_TeamTotals_away,over_1.5,LogReg,2022-2023-2024,2025,7290,2430,0.5523,0.5628,0.246964,0.247269,0.000305,0.6884,0.6877,-0.0007,0.4891,0.0706,0.0545,True,0.019629,0.836697,0.568842,0.104853
F5_TeamTotals_away,over_1.5,LightGBM,2022-2023-2024,2025,7290,2430,0.5523,0.5503,0.249726,0.247269,-0.002457,0.6938,0.6877,-0.0061,0.3953,0.0908,0.0553,True,0.148751,0.891323,0.572114,0.110089
F5_TeamTotals_away,over_2.0,LogReg,2022,2023,2430,2430,0.4152,0.5337,0.264135,0.242813,-0.021322,0.7427,0.6787,-0.064,0.1513,-0.2362,0.1366,False,0.001674,1.0,0.350272,0.166264
