season,game_id,date,home_team,away_team,home_score,away_score,actual_total,actual_spread,consensus_total_line,fanduel_total_line,draftkings_total_line,betmgm_total_line,target_residual,home_l5_ortg,away_l5_ortg,home_l5_drtg,away_l5_drtg,home_l5_pace,away_l5_pace,home_l5_efg,away_l5_efg,home_l5_tov_pct,away_l5_tov_pct,home_l5_orb_pct,away_l5_orb_pct,home_l5_ft_rate,away_l5_ft_rate,home_l10_ortg,away_l10_ortg,home_l10_drtg,away_l10_drtg,home_l10_pace,away_l10_pace,home_l10_efg,away_l10_efg,home_l10_tov_pct,away_l10_tov_pct,home_l10_orb_pct,away_l10_orb_pct,home_l10_ft_rate,away_l10_ft_rate,home_season_ortg,away_season_ortg,home_season_drtg,away_season_drtg,home_season_pace,away_season_pace,home_season_efg,away_season_efg,home_season_tov_pct,away_season_tov_pct,home_season_orb_pct,away_season_orb_pct,home_season_ft_rate,away_season_ft_rate,home_l10_net_rtg,away_l10_net_rtg,home_rest_days,away_rest_days,home_b2b,away_b2b,home_three_in_four,away_three_in_four,home_four_in_six,away_four_in_six,pace_diff,home_ortg_vs_away_drtg,away_ortg_vs_home_drtg,ortg_diff,drtg_diff,net_rtg_diff,efg_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,home_court
2024_25,0022400430,2024-12-28,CHI,MIL,116,111,227,5,229.5,229.5,229.5,229.5,-2.5,109.7740714878303,108.4233880322794,118.48055330387379,106.58848748375502,102.05851132162377,100.45667054948656,0.5286206241819537,0.5689742059908905,11.87713682807571,15.468845177002482,20.419362369123963,18.403994251909737,0.1556181511726173,0.18548821016490596,112.64987482496375,113.47511122746153,113.36646044922293,111.01286118517949,102.820987524078,99.15538956223796,0.5497055362145037,0.5842869044579173,12.776885098100125,14.575565574413,20.641507600242853,17.64471491931912,0.1772231478777268,0.2580795973084988,113.65129812283583,112.841694079561,117.28990788161461,113.23887905116545,103.84822865610724,98.9564652051674,0.5616026441476064,0.5653125956443835,12.98627479639912,13.560908604802563,19.896285259520713,19.136496290211152,0.20506166546494778,0.2596669496978859,-0.7165856242591815,2.4622500422820366,2,2,0,0,0,0,0,0,3.6655979618400494,1.6370136397842572,0.10865077823859792,-0.8252364024977794,2.3535992640434387,-3.178835666541218,-0.034581368243413624,1.7986804763128745,2.9967926809237326,-0.08085644943077197,1.0
2024_25,0022400431,2024-12-28,GSW,PHX,109,105,214,4,219.33333333333334,219.0,219.5,219.5,-5.333333333333343,106.05478905088266,109.73558670056852,117.45753360590429,118.6555403486381,97.6343533223918,95.52620857591275,0.4882014541713965,0.5355035441099208,11.818632290806406,14.01036006403216,26.274425735087465,21.692617037152985,0.23318107356729678,0.2522396596448903,107.00407429747202,116.06094953158845,113.99780925525151,120.71703635340391,97.52512344701731,96.45291560356262,0.5043511010551025,0.5587279334024282,12.821846691815916,13.430749853489653,26.271994330792477,23.460315516908544,0.21233371252492422,0.25752211881009823,112.09392749337921,115.2016561128788,110.67717126577558,116.8923623599168,100.02973963863373,97.74250907184218,0.529475230315419,0.556169483908379,12.393756165690819,12.919036571625714,27.18231487837636,21.720607219636275,0.23077449887927562,0.2701455483064697,-6.993734957779495,-4.656086821815464,1,1,1,1,1,1,1,1,1.0722078434546916,-13.712962055931897,2.063140276336938,-9.056875234116433,-6.719227098152402,-2.337648135964031,-0.05437683234732571,0.6089031616737373,2.8116788138839333,-0.04518840628517401,1.0
2024_25,0022400432,2024-12-28,DEN,DET,134,121,255,13,230.83333333333334,231.0,231.0,230.5,24.166666666666657,120.16442515468698,118.44256836248644,119.14699516979688,117.14874125031008,101.32950033339911,102.91314248956823,0.5879150693268278,0.5677889111377142,12.87633017802581,11.540075729374674,26.035353753168806,21.85561693730019,0.24879243209200624,0.21586703911081048,118.1527127081072,113.2033323238004,114.60695052430238,118.62516187790754,103.87792241887476,101.65515460056804,0.5816556760806172,0.5528732125825122,13.778050995509252,12.965373660590554,25.301849265534337,22.266150158880713,0.2677880808022276,0.20752531498374882,117.35387268812896,112.10105909369621,114.69709967745835,114.54181820768139,102.12630486609595,99.94970203814471,0.5666926386523039,0.5452321682451784,12.91468619213327,14.050039735373094,25.630811479798336,24.89762550820868,0.28084845917556667,0.23035750156682497,3.5457621838048254,-5.421829554107148,1,2,1,0,1,0,1,0,2.222767818306721,-0.4724491698003419,-1.403618200501981,4.9493803843068065,-4.018211353605167,8.967591737911974,0.028782463498104982,-0.812677334918698,3.035699106653624,0.06026276581847878,1.0
2024_25,0022400433,2024-12-28,UTA,PHI,111,114,225,-3,222.66666666666666,223.0,222.5,222.5,2.333333333333343,112.93185055028405,114.05939453302963,119.20810940605452,113.16074345769064,101.16153702056094,97.7068976988447,0.5589785075590532,0.5422694573359854,16.742108068806594,11.832241126354532,28.73202112246849,20.683364963690387,0.30389495291580887,0.2745470895138255,115.39544148925322,112.7054971137646,122.82710868110686,111.85497170376178,99.20453292116159,96.45223403516476,0.5833092233669012,0.5362939395797625,16.995547579737817,12.626135346259897,26.676505157785762,23.039232372553414,0.2824089743481998,0.2744078312540397,111.68759190320456,109.38219506072379,120.75141498790772,112.34991422089658,99.26575097267194,97.89678365337109,0.5437125520027654,0.5152720502889558,16.253065411472924,12.852976239235225,28.073323826300687,23.368044161622112,0.2802358013276137,0.27467913017993684,-7.4316671918536485,0.8505254100028168,2,3,0,0,0,0,0,0,2.7522988859968223,3.540469785491439,-10.12161156734227,2.689944375488622,10.972136977345087,-8.282192601856465,0.047015283787138706,-4.36941223347792,3.637272785232348,0.008001143094160057,1.0
2024_25,0022400434,2024-12-28,POR,DAL,126,122,248,4,224.0,224.0,223.5,224.5,24.0,113.62646906341422,111.43528851798256,123.08651781784177,107.35708913013369,98.427143808103,96.23574125385298,0.5253169630253927,0.5176769094311195,11.472589312399435,11.989299498250132,27.487173558834048,22.520639330915238,0.1861925278515138,0.2584591909471621,113.06053905673184,117.28401561229657,125.91186100929197,111.00116292296289,98.12029863131593,99.29410193155812,0.5435213093139067,0.5663013214147528,13.413983273816234,14.09250278613131,25.733166396269162,25.875672244049902,0.19815127951350675,0.31205230630917447,108.77449604395541,118.16132992744652,117.7394560622246,111.9261368022672,99.30666112481441,99.38239582750153,0.5117057376444996,0.562873249934431,14.051063079065154,12.658032321915892,27.85759254892516,25.987270098028773,0.23523909191322953,0.270273084991296,-12.851321952560127,6.28285268933368,2,1,0,1,0,1,0,1,-1.1738033002421844,2.05937613376895,-8.627845396995397,-4.22347655556473,14.910698086329077,-19.134174641893807,-0.022780012100846014,0.6785195123150771,-0.14250584778073971,-0.11390102679566771,1.0
2024_25,0022400435,2024-12-28,LAL,SAC,132,122,254,10,223.0,223.0,222.5,223.5,31.0,112.38290544926076,106.49886770499702,108.12021828032744,115.88628160969078,100.05593072075638,100.45217324217946,0.5417834437304117,0.5068912402359318,14.041583064625025,11.68829621343868,22.724859558781684,19.429267005450278,0.31668215522011606,0.2228166347839949,106.16150450364675,115.59554353659485,111.62796660928333,112.54922466883197,99.6893522707389,100.15673798122995,0.5174783469088367,0.5358715599476325,14.397502218083337,10.462681425165247,21.75135776840689,22.161939522726566,0.25888376852966727,0.22814617373854945,112.76726498141782,114.96270233427954,115.21724254267107,113.72831557802887,98.716083257874,99.81340800109663,0.5393798391818936,0.5441072333415877,12.421655470789737,12.097252191173329,21.620613177312283,23.655061630782143,0.2833757941549785,0.24898666600243044,-5.46646210563658,3.046318867762878,3,2,0,0,0,0,0,0,-0.46738571049105815,-6.387720165185215,3.9675769273115122,-9.434039032948093,-0.9212580595486344,-8.512780973399458,-0.01839321303879582,-3.9348207929180905,-0.4105817543196757,0.030737594791117817,1.0
2024_25,0022400441,2024-12-29,MIN,SAS,112,110,222,2,214.33333333333334,214.5,214.0,214.5,7.666666666666657,110.0704080625768,111.51188156154453,118.39597309662297,105.92207734165727,96.77832633564017,100.9344218380385,0.5481432058328617,0.5490122966010548,13.643935291580538,13.850716945968045,22.93483112024906,19.228154776747413,0.18471122160822168,0.23889330097170083,107.9802971367076,112.09264772884278,106.09567228192013,114.01317442248259,97.8908130327649,100.92308671606807,0.5341249882084866,0.5338981145685547,13.83985636508145,13.129906940748494,22.100670839901326,23.908437215100605,0.19834383489419133,0.26139564060821513,111.25949483478526,112.42110644129247,109.11782279418246,112.82655020824252,98.19933335420654,98.97343623891051,0.5479958931055475,0.5371609899146592,14.333675986247323,13.353473296784166,22.519149702470592,24.324178607372122,0.23729578261756198,0.25248669802800716,1.884624854787475,-1.9205266936398147,2,2,0,0,1,1,1,1,-3.032273683303174,-6.032877285774987,5.996975446922647,-4.112350592135172,-7.917502140562462,3.8051515484272898,0.00022687363993190157,-0.7099494243329563,-1.8077663751992787,-0.0630518057140238,1.0
2024_25,0022400439,2024-12-29,HOU,MIA,100,104,204,-4,216.5,216.5,216.5,216.5,-12.5,120.61413887337282,107.44425301010457,110.02804171783245,108.9352440021103,99.69021721587788,96.77197645031534,0.5543332816390368,0.535771750303304,12.666644298218205,15.164079005790782,33.75738773722834,16.654871301286512,0.24494633091262324,0.30278830100502946,115.51445377546546,115.72095980178639,110.23472635233986,109.26574803896048,97.88454634422241,98.2280127151257,0.5274842815806267,0.5633966992797359,12.274778939183971,13.79437050599319,31.32542029902071,21.235785052095853,0.24948019470215618,0.28116753579845544,113.45636480947547,114.16144594888353,106.32939092508063,111.36914720621485,100.35889119526254,97.95242318272462,0.511111536973358,0.5422147486507107,11.56517100486074,12.23531498674227,30.083054550605016,21.215479770024317,0.2528776710967401,0.26936832474809197,5.279727423125593,6.455211762825911,2,1,0,1,1,1,1,1,-0.34346637090328613,6.248705736504974,5.48623344944653,-0.2065060263209375,0.968978313379381,-1.1754843397003185,-0.035912417699109245,1.5195915668092184,10.089635246924857,-0.031687341096299254,1.0
2024_25,0022400440,2024-12-29,OKC,MEM,130,106,236,24,230.0,229.5,230.0,230.5,6.0,112.3056501988716,122.8024366324377,102.56891084635281,104.33149321724031,99.3408271355465,108.89448171005074,0.5266576579648414,0.5867119890635906,10.619470961784,14.221207275455464,21.864224652302394,31.33543912163695,0.20194303215831977,0.2418043157021223,118.14213784385325,119.44868992274034,104.72005200530666,105.69131648467071,99.33145900246782,108.44547351803074,0.5470367848843939,0.5728227620368525,10.087264492045426,14.208690423138247,25.3411655263862,28.901609550065615,0.1866548165744159,0.267718532554445,115.89073497588963,117.92917864643827,103.09850916056384,107.04506259262101,99.93810259084303,105.52147898207431,0.5418956955530739,0.5666921509158692,10.531423393913999,14.18926480448854,23.107981655337596,28.269080946176636,0.20581113020830494,0.25744345351301834,13.422085838546593,13.757373438069635,1,2,1,0,1,1,1,1,-9.114014515562914,12.450821359182541,14.728637917433687,-1.3065520788870941,-0.9712644793640521,-0.335287599523042,-0.02578597715245856,4.121425931092821,-3.560444023679416,-0.0810637159800291,1.0
2024_25,0022400437,2024-12-29,BOS,IND,114,123,237,-9,233.66666666666666,233.5,234.0,233.5,3.333333333333343,119.7784917576565,117.39426524232712,110.51769318208622,117.70899240587565,98.96198526977813,97.4485006544237,0.5401554131855862,0.5571638530066064,10.093717844373066,10.29256150481954,28.103727914420755,21.138188455223435,0.2259965826713804,0.2165638731816121,119.25864232511887,115.70364829297542,109.7653944428608,113.39349310389215,99.80030986511954,98.73368142481404,0.5483492090577256,0.571257346196397,10.723203029982932,12.011923496413392,26.8292210511196,18.341638189068625,0.22490240333825673,0.21726237942278653,119.84730343915928,114.48636744669453,110.205946115573,116.29449062296928,99.62313267443383,100.49215170991002,0.5564511573521881,0.5611893649220644,10.826129805560038,12.835585807213967,24.088363860428466,20.085715148313106,0.2450998623867901,0.23852169234151138,9.493247882258075,2.310155189083261,2,2,0,0,1,1,1,1,1.0666284403055073,5.865149221226716,5.93825385011462,3.5549940321434548,-3.628098661031359,7.183092693174814,-0.02290813713867146,1.2887204664304601,8.487582862050974,0.0076400239154701954,1.0
2024_25,0022400436,2024-12-29,ORL,BKN,102,101,203,1,204.5,204.5,204.5,204.5,-1.5,102.41937118133588,101.69398973393504,106.60546528039586,106.31116668505618,97.61130097399993,95.9666090980262,0.5000223498977134,0.4795541634747654,16.931125526273043,15.969602912141273,23.562956075363232,28.257037681346315,0.2511133929081582,0.2201970329733692,105.05463965386275,104.45330167424424,108.49738068721904,113.30341484696032,96.63312446013819,97.87717502391477,0.5031739349195685,0.5053956369821775,15.46480627859946,15.43621403009601,26.39194298521476,23.784849224888852,0.2505910144741435,0.2243179418617164,108.51439802956297,110.74826158364371,106.3735163544059,115.97907629821836,97.0258596137494,97.29004423147059,0.5121893489871169,0.5405981739368102,14.119863688123191,14.161273241586015,24.948920967392255,21.21532637529274,0.2702281751547005,0.25053764074619767,-3.4427410333562847,-8.850113172716078,2,2,0,0,1,1,1,1,-1.2440505637765824,-8.248775193097572,-4.044079012974791,0.6013379796185063,-4.806034159741287,5.4073721393597936,-0.0022217020626089656,-0.02859224850344866,2.6070937603259097,0.02627307261242709,1.0
2024_25,0022400438,2024-12-29,TOR,ATL,107,136,243,-29,237.33333333333334,237.0,237.5,237.5,5.666666666666657,110.11508571299571,117.41387963546615,120.3870637469362,115.34389842419333,104.43130399365029,105.30508457632433,0.5409832593351299,0.6000864074734601,13.82603170127038,16.933516151258935,21.13335999891971,22.295499219036962,0.2554736298416784,0.3020991308641906,108.95752489619083,114.97478152471406,118.88255869261904,113.20499265641111,102.71103138626071,105.55886081911085,0.5309110288762641,0.5540451973750079,13.794519687607561,14.23791266302137,21.572630331532913,26.90722703647912,0.23287902614796155,0.261414968714505,111.28363292020084,113.15015647822298,116.53610746906698,114.75386357239442,101.22212620048087,104.17209607409443,0.5301207471789493,0.5402752648062502,13.780491536196445,14.010506219827306,27.806373212851383,26.748215757680335,0.2490594213720788,0.25673585336284604,-9.92503379642821,1.7697888683029532,3,1,0,1,0,1,0,1,-2.8478294328501335,-4.247467760220275,-3.9077771679049818,-6.017256628523228,5.677566036207935,-11.694822664731163,-0.023134168498743835,0.4433929754138095,-5.3345967049462075,-0.028535942566543432,1.0
2024_25,0022400442,2024-12-30,CHA,CHI,108,115,223,-7,226.33333333333334,226.5,226.0,226.5,-3.333333333333343,104.84100236199967,109.54339130824852,114.47962418629372,117.47251504754163,98.65967156157146,101.20700205407064,0.4797586218193043,0.5305674266720499,12.974849131417637,11.770117424814943,25.9012354436338,21.192691883546114,0.25850936838478505,0.13119257109338694,105.46726276600009,111.43341179408978,116.66682625663955,114.18323168950567,98.3442198977631,102.87286184598875,0.5005523560026309,0.5435728131023755,13.91987007158993,12.297684477418937,25.387095366127948,20.315583283819727,0.24264677208556815,0.17446571080678858,107.9232347531195,113.23382155956352,115.15085429123447,117.05430852455567,98.21447623569927,103.74125263838242,0.5086563058447774,0.5602302026271386,14.084661227869821,13.022326700293792,27.6602559042957,20.034885398120856,0.21629736014046325,0.2030404666345384,-11.199563490639463,-2.7498198954158966,2,2,0,0,1,1,0,0,-4.528641948225655,-8.715968923505585,-5.233414462549774,-5.9661490280896885,2.4835945671338777,-8.449743595223566,-0.04302045709974456,-1.6221855941709933,5.071512082308221,0.06818106127877957,1.0
2024_25,0022400443,2024-12-30,WAS,NYK,106,126,232,-20,230.16666666666666,229.5,230.5,230.5,1.8333333333333428,110.45606894904817,122.18913701834887,114.47704988632768,110.8028146949155,103.83646347545827,98.59668495705769,0.5483924375490641,0.5734337116984543,14.58666211774206,12.6686895762632,22.783299226398974,29.457955637391557,0.2500025038177649,0.278199533175153,107.27673109799359,118.070901198315,116.8514656246557,110.02680340607783,103.60135705687313,98.1495859904472,0.5259287125040251,0.5727303320278185,14.344959521129798,13.15752229053004,24.8482891184264,25.105994204117827,0.2066801867941189,0.2713251122304168,106.52147064887825,120.66047702610616,119.36418085240844,112.33332585222789,103.06195628645425,97.50563635476239,0.5175760623871475,0.5778009491626362,13.963295685246043,12.178400363527766,21.816265874053546,24.1439263695301,0.23205598437464262,0.24051239934231347,-9.574734526662112,8.044097792237167,2,2,0,0,1,1,0,1,5.45177106642592,-2.750072308084242,1.2194355736592968,-10.79417010032141,6.8246622185778705,-17.61883231889928,-0.04680161952379347,-1.187437230599759,-0.2577050856914269,-0.06464492543629788,1.0
