date,game_id,home_team,away_team,actual_total,market_line,over_pred_residual,over_pred_total,over_edge,under_prob,bet_direction,bet_result,profit_units,conflict_flag,train_samples,over_model_trees,under_model_trees
2025-02-05,0022400718,DET,CLE,233,236.33333333333334,-10.61444498417097,225.71888834916237,-10.614444984170973,0.6890421120072386,,,,False,737,0,0
2025-02-05,0022400719,ATL,SAS,251,240.16666666666666,-7.319747973027021,232.84691869363962,-7.3197479730270345,0.8760788929651057,UNDER,LOSS,-1.0,False,737,0,0
2025-02-05,0022400720,BKN,WAS,221,216.83333333333334,-2.8853066030934036,213.94802673023995,-2.8853066030933974,0.6105824254140203,,,,False,737,0,0
2025-02-05,0022400725,UTA,GSW,259,227.0,5.894837959964505,232.8948379599645,5.894837959964491,0.5300097954036256,,,,False,737,0,0
2025-02-05,0022400721,PHI,MIA,209,215.5,4.5324960838291295,220.03249608382913,4.53249608382913,0.5824845187242716,,,,False,737,0,0
2025-02-05,0022400724,OKC,PHX,249,226.16666666666666,-0.7729679021127148,225.39369876455393,-0.7729679021127254,0.4324568863860994,,,,False,737,0,0
2025-02-05,0022400726,DEN,NOP,263,238.66666666666666,4.5224157059423895,243.18908237260905,4.522415705942393,0.7081200696578033,,,,False,737,0,0
2025-02-05,0022400727,SAC,ORL,241,218.5,-0.7777383604806845,217.7222616395193,-0.7777383604806971,0.7237665462666762,,,,False,737,0,0
2025-02-05,0022400723,MIN,CHI,235,226.83333333333334,5.087359040759334,231.92069237409268,5.087359040759338,0.5059202040265804,,,,False,737,0,0
2025-02-05,0022400722,TOR,MEM,245,238.5,7.457008097555072,245.95700809755508,7.457008097555075,0.23806189884218903,OVER,WIN,0.9090909090909091,False,737,0,0
2025-02-06,0022400728,BOS,DAL,247,231.0,-6.75776856526847,224.24223143473154,-6.757768565268464,0.4971801652241768,,,,False,748,0,0
2025-02-06,0022400729,MIN,HOU,241,214.33333333333334,-6.965742191133293,207.36759114220004,-6.965742191133302,0.44647180722218355,,,,False,748,0,0
2025-02-06,0022400730,DEN,ORL,202,221.66666666666666,-7.418624952286429,214.24804171438024,-7.418624952286422,0.7886565642204983,UNDER,WIN,0.9090909090909091,False,748,0,0
2025-02-06,0022400731,LAL,GSW,232,221.5,-1.460682097652349,220.03931790234765,-1.4606820976523522,0.26357722582456705,,,,False,748,0,0
2025-02-06,0022400732,POR,SAC,210,229.5,1.2008403248998916,230.7008403248999,1.2008403248999002,0.21618893868299585,,,,False,748,0,0
2025-02-06,0022400733,LAC,IND,231,228.33333333333334,7.005423475440831,235.33875680877418,7.0054234754408355,0.5339672316106007,,,,False,748,0,0
2025-02-07,0022400735,WAS,CLE,258,236.0,-5.243810371634864,230.75618962836515,-5.243810371634851,0.41202904080503877,,,,False,754,0,0
