date,game_id,home_team,away_team,actual_total,market_line,pred_model,pred_matchup,pred_blended,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-04-08,0022401148,IND,WAS,202,238.66666666666666,228.14959571403767,236.96425141315513,234.31985470341988,-4.346811963246779,UNDER,100.0,WIN,4.0-5.0,1170
2025-04-08,0022401147,CLE,CHI,248,240.5,237.53868350508336,257.1224555575267,251.24732394179367,10.747323941793667,,,,,1170
2025-04-08,0022401146,CHA,MEM,224,230.5,224.1014887588978,233.8570160718722,230.93035787797987,0.4303578779798727,,,,,1170
2025-04-09,0022401157,WAS,PHI,225,227.5,222.79231159887775,230.92593222263955,228.48584603551097,0.9858460355109742,,,,,1180
2025-04-09,0022401158,TOR,CHA,222,217.16666666666666,223.07112588097047,220.60869633359425,221.3474251978071,4.180758531140441,OVER,100.0,WIN,4.0-5.0,1180
2025-04-09,0022401159,DAL,LAL,209,227.16666666666666,230.49939476205606,246.4481587818829,241.66352957593483,14.496862909268174,,,,,1180
2025-04-09,0022401166,LAC,HOU,251,219.16666666666666,234.7812165755502,228.17327179177033,230.1556552269043,10.98898856023763,,,,,1180
2025-04-09,0022401163,GSW,SAS,225,231.5,226.47430125491215,235.2475921807822,232.61560490302116,1.1156049030211648,,,,,1180
2025-04-09,0022401164,PHX,OKC,237,229.16666666666666,231.8259408648162,249.66763701773914,244.31512817186226,15.148461505195598,,,,,1180
2025-04-09,0022401165,SAC,DEN,240,234.5,231.71798288168478,240.99455323398894,238.21158212829766,3.711582128297664,,,,,1180
2025-04-09,0022401156,ORL,BOS,172,209.16666666666666,233.91889022941982,227.6828525965626,229.55366388641977,20.386997219753113,,,,,1180
2025-04-09,0022401162,UTA,POR,259,229.5,226.02140221522396,242.60609037910632,237.6306839299416,8.130683929941597,,,,,1180
2025-04-09,0022401160,CHI,MIA,230,226.66666666666666,235.8698013935079,243.38859223429694,241.13295498206023,14.46628831539357,,,,,1180
2025-04-10,0022401167,DET,NYK,221,227.5,229.87537138376828,237.4825133298442,235.2003707460214,7.700370746021406,OVER,-110.0,LOSS,6.0-8.0,1190
2025-04-10,0022401161,MIL,NOP,247,222.33333333333334,232.86912402644052,238.5427631358951,236.8406714030587,14.507338069725364,,,,,1190
2025-04-10,0022401170,MEM,MIN,266,232.5,231.25533452255075,238.15350083800084,236.0840509433658,3.58405094336581,,,,,1190
2025-04-10,0022401168,IND,CLE,226,232.5,236.8492219381043,245.27291017076206,242.74580370096473,10.245803700964728,,,,,1190
2025-04-10,0022401169,BKN,ATL,242,230.5,227.79743378554082,235.73755448699114,233.35551827655604,2.8555182765560403,,,,,1190
2025-04-11,0022401178,DAL,TOR,226,225.16666666666666,223.20050332544415,219.92883691738152,220.9103368398003,-4.256329826866363,UNDER,-110.0,LOSS,4.0-5.0,1195
2025-04-11,0022401171,DET,MIL,244,228.66666666666666,231.189482771457,248.16527664120832,243.0725384802829,14.405871813616244,,,,,1195
2025-04-11,0022401172,IND,ORL,244,217.33333333333334,232.85480052938797,223.2151032852375,226.10701245848261,8.773679125149272,,,,,1195
2025-04-11,0022401173,PHI,ATL,234,240.16666666666666,228.71074996463977,246.0682718347462,240.86101527371426,0.6943486070476013,,,,,1195
2025-04-11,0022401174,BOS,CHA,224,214.0,228.57005011662997,228.1707573348829,228.290545169407,14.290545169407011,,,,,1195
2025-04-11,0022401177,NOP,MIA,257,215.16666666666666,230.4338917004145,229.67103056051724,229.8998889024864,14.733222235819738,,,,,1195
2025-04-11,0022401176,CHI,WAS,208,235.83333333333334,226.7104346728379,244.3037923499485,239.02578504681532,3.1924517134819723,,,,,1195
2025-04-11,0022401175,NYK,CLE,210,226.5,234.66466908409055,237.46212180808752,236.62288599088842,10.12288599088842,,,,,1195
2025-04-11,0022401180,DEN,MEM,226,241.5,230.2179099975,249.7334047334264,243.87875631264848,2.378756312648477,,,,,1195
2025-04-11,0022401181,UTA,OKC,256,233.66666666666666,226.67710322743582,246.54942904041772,240.58773129652315,6.921064629856488,OVER,100.0,WIN,6.0-8.0,1195
2025-04-11,0022401182,PHX,SAS,215,232.5,226.82797118749465,244.60928555853104,239.27489124722013,6.7748912472201255,OVER,-110.0,LOSS,6.0-8.0,1195
2025-04-11,0022401183,POR,GSW,189,226.83333333333334,228.9366224498156,238.6557634141683,235.74002112486247,8.906687791529123,,,,,1195
2025-04-11,0022401184,SAC,LAC,201,226.16666666666666,233.24073615092857,233.70911531466197,233.56860156554194,7.401934898875282,OVER,-110.0,LOSS,6.0-8.0,1195
2025-04-11,0022401185,LAL,HOU,249,226.0,233.4427281084665,242.8753831427092,240.04558663243637,14.045586632436368,,,,,1195
2025-04-11,0022401179,MIN,BKN,208,216.5,226.7141771395127,230.31759612980417,229.23657043271675,12.736570432716746,,,,,1195
2025-04-13,0022401186,ATL,ORL,222,220.5,230.9640069865063,231.36403124037102,231.24402396421158,10.744023964211578,,,,,1210
2025-04-13,0022401189,CLE,IND,244,226.83333333333334,235.0195793557307,248.1514222811128,244.21186940349816,17.378536070164813,,,,,1210
2025-04-13,0022401191,PHI,CHI,224,233.5,228.23234826946143,238.73661436944298,235.5853345394485,2.085334539448496,,,,,1210
2025-04-13,0022401190,MIA,WAS,237,215.33333333333334,228.01815120058495,231.1813572199464,230.23239541413795,14.899062080804612,,,,,1210
