date,home_team,away_team,actual_total,market_total_line,model_total,edge,bet_side,bet_result,profit_units,staked_units,n_train_games,skip_reason
2025-03-25,Miami Heat,Golden State Warriors,198,218.16666666666666,225.78083894062289,7.614172273956228,OVER,LOSS,-1.0,1.0,1061,
2025-03-25,New York Knicks,Dallas Mavericks,241,224.5,225.2888587818762,0.7888587818762005,NO_BET,NO_BET,0.0,0.0,1061,
2025-03-25,Portland Trail Blazers,Cleveland Cavaliers,233,232.0,218.64705203359813,-13.35294796640187,UNDER,LOSS,-1.0,1.0,1061,
2025-03-25,Sacramento Kings,Oklahoma City Thunder,226,231.33333333333334,227.40604529105894,-3.927288042274398,NO_BET,NO_BET,0.0,0.0,1061,
2025-03-25,Utah Jazz,Memphis Grizzlies,243,240.5,222.63573426058045,-17.86426573941955,UNDER,LOSS,-1.0,1.0,1061,
2025-03-26,Brooklyn Nets,Toronto Raptors,202,214.66666666666666,227.94047426803763,13.273807601370976,OVER,LOSS,-1.0,1.0,1069,
2025-03-26,Denver Nuggets,Milwaukee Bucks,244,225.33333333333334,226.77200493555333,1.4386716022199835,NO_BET,NO_BET,0.0,0.0,1069,
2025-03-26,Indiana Pacers,Los Angeles Lakers,239,235.33333333333334,226.53314484398413,-8.80018848934921,UNDER,LOSS,-1.0,1.0,1069,
2025-03-26,New York Knicks,LA Clippers,239,217.5,228.89766461625948,11.397664616259476,OVER,WIN,0.9090909090909091,1.0,1069,
2025-03-26,Philadelphia 76ers,Washington Wizards,233,230.16666666666666,218.4381125318589,-11.728554134807752,UNDER,LOSS,-1.0,1.0,1069,
2025-03-26,Phoenix Suns,Boston Celtics,234,221.66666666666666,231.5137475833068,9.847080916640152,OVER,WIN,0.9090909090909091,1.0,1069,
2025-03-27,Chicago Bulls,Los Angeles Lakers,236,237.83333333333334,229.55971596724638,-8.273617366086967,UNDER,WIN,0.9090909090909091,1.0,1075,
2025-03-27,Cleveland Cavaliers,San Antonio Spurs,240,238.66666666666666,227.67476030565498,-10.991906361011672,UNDER,LOSS,-1.0,1.0,1075,
2025-03-27,Miami Heat,Atlanta Hawks,234,228.0,228.3867024195213,0.38670241952129913,NO_BET,NO_BET,0.0,0.0,1075,
2025-03-27,Oklahoma City Thunder,Memphis Grizzlies,229,237.83333333333334,229.60818499428515,-8.22514833904819,UNDER,WIN,0.9090909090909091,1.0,1075,
2025-03-27,Orlando Magic,Dallas Mavericks,193,218.5,218.4345367593531,-0.06546324064689202,NO_BET,NO_BET,0.0,0.0,1075,
2025-03-27,Sacramento Kings,Portland Trail Blazers,235,225.66666666666666,221.61860009039972,-4.048066576266933,UNDER,LOSS,-1.0,1.0,1075,
2025-03-27,Utah Jazz,Houston Rockets,231,227.83333333333334,222.96820576017316,-4.86512757316018,UNDER,LOSS,-1.0,1.0,1075,
2025-03-27,Washington Wizards,Indiana Pacers,271,234.5,228.28079433815893,-6.219205661841073,UNDER,LOSS,-1.0,1.0,1075,
2025-03-28,Brooklyn Nets,LA Clippers,232,214.33333333333334,226.49835966256688,12.165026329233541,OVER,WIN,0.9090909090909091,1.0,1083,
2025-03-28,Denver Nuggets,Utah Jazz,222,239.0,232.70851052332137,-6.291489476678635,UNDER,WIN,0.9090909090909091,1.0,1083,
2025-03-28,Detroit Pistons,Cleveland Cavaliers,255,229.66666666666666,230.90523972122895,1.2385730545622948,NO_BET,NO_BET,0.0,0.0,1083,
2025-03-28,Milwaukee Bucks,New York Knicks,223,219.5,225.82926806685086,6.329268066850858,OVER,WIN,0.9090909090909091,1.0,1083,
2025-03-28,Minnesota Timberwolves,Phoenix Suns,233,226.5,234.85026014709146,8.350260147091461,OVER,WIN,0.9090909090909091,1.0,1083,
2025-03-28,New Orleans Pelicans,Golden State Warriors,206,224.0,229.35148290006612,5.351482900066117,OVER,LOSS,-1.0,1.0,1083,
2025-03-28,Toronto Raptors,Charlotte Hornets,205,216.5,226.46942494211305,9.96942494211305,OVER,LOSS,-1.0,1.0,1083,
2025-03-29,Chicago Bulls,Dallas Mavericks,239,237.0,233.7612793375545,-3.238720662445502,NO_BET,NO_BET,0.0,0.0,1090,
2025-03-29,Memphis Grizzlies,Los Angeles Lakers,261,237.16666666666666,225.0661530294213,-12.10051363724537,UNDER,LOSS,-1.0,1.0,1090,
2025-03-29,Oklahoma City Thunder,Indiana Pacers,243,238.5,235.13763116288746,-3.362368837112541,NO_BET,NO_BET,0.0,0.0,1090,
2025-03-29,Orlando Magic,Sacramento Kings,212,218.33333333333334,215.8725146629442,-2.4608186703891306,NO_BET,NO_BET,0.0,0.0,1090,
2025-03-29,Philadelphia 76ers,Miami Heat,213,217.83333333333334,215.98732661847015,-1.8460067148631936,NO_BET,NO_BET,0.0,0.0,1090,
2025-03-29,San Antonio Spurs,Boston Celtics,232,228.83333333333334,227.5674857781358,-1.2658475551975528,NO_BET,NO_BET,0.0,0.0,1090,
