date,game_id,home_team,away_team,actual_total,market_line,predicted_residual,predicted_total,edge,bet_direction,bet_result,profit_units,edge_bucket,train_samples,model_trees
2025-02-09,0022400752,DET,CHA,214,225.0,5.928046471814113,230.92804647181413,5.9280464718141275,OVER,LOSS,-1.0,5.0-6.0,772,0
2025-02-09,0022400753,HOU,TOR,181,224.5,1.4181165865021104,225.91811658650212,1.4181165865021228,,,,,772,0
2025-02-09,0022400754,MIL,PHI,262,227.16666666666666,-4.506231203744432,222.66043546292224,-4.50623120374442,UNDER,LOSS,-1.0,4.0-5.0,772,0
2025-02-10,0022400756,ORL,ATL,218,221.66666666666666,-7.570655990225203,214.09601067644147,-7.570655990225191,UNDER,WIN,0.9090909090909091,6.0-8.0,775,0
2025-02-10,0022400757,WAS,SAS,252,236.16666666666666,-1.64075929067097,234.5259073759957,-1.6407592906709567,,,,,775,0
2025-02-10,0022400759,MIA,BOS,188,219.33333333333334,6.622097402902284,225.95543073623563,6.622097402902284,OVER,LOSS,-1.0,6.0-8.0,775,0
2025-02-10,0022400755,CLE,MIN,235,228.66666666666666,-6.714187111977375,221.9524795546893,-6.714187111977367,UNDER,LOSS,-1.0,6.0-8.0,775,0
2025-02-10,0022400758,BKN,CHA,186,212.66666666666666,-5.565867381531058,207.1007992851356,-5.5658673815310635,UNDER,WIN,0.9090909090909091,5.0-6.0,775,0
2025-02-10,0022400760,MIL,GSW,236,231.5,1.609485797561598,233.1094857975616,1.6094857975616037,,,,,775,0
2025-02-10,0022400762,DAL,SAC,257,237.5,13.713727731068646,251.21372773106864,13.713727731068644,,,,,775,0
2025-02-10,0022400763,DEN,POR,263,233.0,-3.2573216415951265,229.74267835840487,-3.2573216415951265,,,,,775,0
2025-02-10,0022400768,LAL,UTA,245,234.66666666666666,7.203624104119525,241.87029077078617,7.203624104119513,OVER,WIN,0.9090909090909091,6.0-8.0,775,0
2025-02-10,0022400761,OKC,NOP,238,234.33333333333334,-5.178653063333913,229.15468026999943,-5.178653063333911,UNDER,LOSS,-1.0,5.0-6.0,775,0
2025-02-11,0022400764,PHI,TOR,209,226.16666666666666,0.5208466610570972,226.68751332772376,0.5208466610571065,,,,,785,0
2025-02-11,0022400765,IND,NYK,243,239.66666666666666,3.1985621150484147,242.86522878171508,3.198562115048418,,,,,785,0
2025-02-11,0022400766,CHI,DET,224,238.5,2.9836733681358822,241.4836733681359,2.9836733681358965,,,,,785,0
2025-02-11,0022400767,PHX,MEM,231,244.16666666666666,10.564128484245515,254.73079515091217,10.564128484245515,,,,,785,0
2025-02-12,0022400770,ORL,CHA,188,204.33333333333334,2.576400140043957,206.9097334733773,2.576400140043944,,,,,789,0
2025-02-12,0022400776,MIN,MIL,204,224.66666666666666,3.7710865973733,228.43775326403997,3.771086597373312,,,,,789,0
2025-02-12,0022400769,BOS,SAS,219,233.5,9.797093946615274,243.29709394661526,9.797093946615263,,,,,789,0
2025-02-12,0022400772,BKN,PHI,196,212.66666666666666,-0.343714731420954,212.3229519352457,-0.34371473142095965,,,,,789,0
2025-02-12,0022400773,NYK,ATL,297,239.66666666666666,-0.7006846087277545,238.9659820579389,-0.7006846087277552,,,,,789,0
2025-02-12,0022400775,CHI,DET,238,236.83333333333334,-0.8629064255063043,235.97042690782703,-0.8629064255063099,,,,,789,0
2025-02-12,0022400774,TOR,CLE,239,236.33333333333334,-0.9202241706720584,235.41310916266127,-0.9202241706720713,,,,,789,0
2025-02-12,0022400771,WAS,IND,264,239.5,6.079867335724553,245.57986733572454,6.079867335724543,OVER,WIN,0.9090909090909091,6.0-8.0,789,0
2025-02-12,0022400778,OKC,MIA,216,218.83333333333334,0.20907180645878226,219.04240513979212,0.20907180645878043,,,,,789,0
2025-02-12,0022400779,HOU,PHX,230,223.5,-4.404984680147081,219.0950153198529,-4.404984680147095,UNDER,LOSS,-1.0,4.0-5.0,789,0
2025-02-12,0022400780,DEN,POR,253,232.83333333333334,0.83027081008081,233.66360414341415,0.8302708100808047,,,,,789,0
2025-02-12,0022400777,NOP,SAC,230,238.5,5.116967546814835,243.61696754681483,5.116967546814834,OVER,LOSS,-1.0,5.0-6.0,789,0
2025-02-12,0022400781,UTA,LAL,250,236.33333333333334,0.46094299520306936,236.7942763285364,0.46094299520305526,,,,,789,0
2025-02-12,0022400782,DAL,GSW,218,233.33333333333334,5.90156866573681,239.23490199907016,5.901568665736818,OVER,LOSS,-1.0,5.0-6.0,789,0
2025-02-12,0022400783,LAC,MEM,242,237.33333333333334,3.554071347377427,240.88740468071077,3.5540713473774304,,,,,789,0
2025-02-13,0022400787,MIN,OKC,217,222.0,-13.398480397914055,208.60151960208594,-13.398480397914057,,,,,804,0
2025-02-13,0022400786,DAL,MIA,231,221.66666666666666,1.1605709421015105,222.82723760876817,1.160570942101515,,,,,804,0
2025-02-13,0022401004,UTA,LAC,236,225.66666666666666,8.594496288283608,234.26116295495027,8.594496288283608,,,,,804,0
2025-02-13,0022400784,HOU,GSW,203,216.66666666666666,-0.4677596843135186,216.19890698235315,-0.46775968431350634,,,,,804,0
2025-02-13,0022400785,NOP,SAC,273,235.66666666666666,2.321238793460298,237.98790546012697,2.32123879346031,,,,,804,0
2025-02-19,0022400524,LAL,CHA,197,227.16666666666666,-1.2905552313504307,225.87611143531623,-1.2905552313504245,,,,,809,0
2025-02-20,0022400796,POR,LAL,212,227.0,0.5799326720890566,227.57993267208906,0.5799326720890576,,,,,810,0
2025-02-20,0022400788,IND,MEM,240,249.83333333333334,10.881997054966302,260.71533038829966,10.88199705496632,,,,,810,0
2025-02-20,0022400789,PHI,BOS,228,223.5,-5.544991315083759,217.95500868491624,-5.544991315083763,UNDER,LOSS,-1.0,5.0-6.0,810,0
2025-02-20,0022400790,ATL,ORL,222,222.66666666666666,-6.096821210004903,216.56984545666177,-6.09682121000489,UNDER,WIN,0.9090909090909091,6.0-8.0,810,0
2025-02-20,0022400791,BKN,CLE,207,225.5,9.706870966870845,235.20687096687084,9.706870966870838,,,,,810,0
2025-02-20,0022400792,NYK,CHI,224,242.5,-8.727787768330483,233.77221223166953,-8.727787768330472,,,,,810,0
2025-02-20,0022400793,MIL,LAC,226,227.33333333333334,7.965239676288716,235.29857300962206,7.965239676288718,OVER,LOSS,-1.0,6.0-8.0,810,0
2025-02-20,0022400794,DEN,CHA,244,228.33333333333334,-3.8243086899718355,224.5090246433615,-3.8243086899718435,,,,,810,0
2025-02-20,0022400795,SAS,PHX,229,237.0,-4.298656834125811,232.7013431658742,-4.298656834125808,UNDER,WIN,0.9090909090909091,4.0-5.0,810,0
2025-02-21,0022400797,CLE,NYK,247,239.5,-2.499441913622756,237.00055808637725,-2.4994419136227464,,,,,819,0
2025-02-21,0022400800,TOR,MIA,231,221.33333333333334,-4.654696085229837,216.6786372481035,-4.65469608522983,UNDER,LOSS,-1.0,4.0-5.0,819,0
2025-02-21,0022400801,HOU,MIN,236,216.5,-0.4727439413171827,216.0272560586828,-0.4727439413171908,,,,,819,0
2025-02-21,0022400799,WAS,MIL,205,229.66666666666666,9.87750929435249,239.54417596101914,9.877509294352478,,,,,819,0
2025-02-21,0022400798,ORL,MEM,209,224.5,1.8044235709445553,226.30442357094455,1.8044235709445502,,,,,819,0
2025-02-21,0022400805,SAC,GSW,240,233.5,-6.138037473904068,227.36196252609594,-6.138037473904063,UNDER,LOSS,-1.0,6.0-8.0,819,0
2025-02-21,0022400804,UTA,OKC,237,236.5,-2.7359694710527283,233.76403052894727,-2.7359694710527265,,,,,819,0
2025-02-21,0022400802,SAS,DET,235,232.5,-4.679215484217424,227.82078451578258,-4.679215484217423,UNDER,LOSS,-1.0,4.0-5.0,819,0
2025-02-21,0022400803,DAL,NOP,214,236.83333333333334,5.822793390512307,242.65612672384566,5.822793390512317,OVER,LOSS,-1.0,5.0-6.0,819,0
2025-02-22,0022400806,CHI,PHX,238,238.5,-7.780919742820718,230.7190802571793,-7.780919742820714,UNDER,WIN,0.9090909090909091,6.0-8.0,828,0
2025-02-22,0022400807,PHI,BKN,208,213.5,-7.93081521138717,205.56918478861283,-7.93081521138717,UNDER,WIN,0.9090909090909091,6.0-8.0,828,0
2025-02-22,0022400808,DEN,LAL,223,240.66666666666666,-0.6653298779648502,240.00133678870182,-0.6653298779648367,,,,,828,0
2025-02-22,0022400809,UTA,HOU,239,228.66666666666666,-4.404176985316737,224.26248968134993,-4.404176985316724,UNDER,LOSS,-1.0,4.0-5.0,828,0
2025-02-22,0022400810,POR,CHA,229,222.0,-3.1691675844031737,218.83083241559683,-3.1691675844031693,,,,,828,0
2025-02-23,0022400817,MIL,MIA,233,221.5,11.678903105135106,233.1789031051351,11.678903105135106,,,,,833,0
2025-02-23,0022400815,ORL,WAS,200,216.33333333333334,-15.67157460276271,200.66175873057063,-15.671574602762718,,,,,833,0
2025-02-23,0022400811,BOS,NYK,223,231.5,-1.340499182853012,230.15950081714698,-1.3404991828530228,,,,,833,0
2025-02-23,0022400813,IND,LAC,240,230.5,-6.479495785312835,224.02050421468715,-6.479495785312849,UNDER,LOSS,-1.0,6.0-8.0,833,0
