date,game_id,home_team,away_team,actual_total,market_line,pred_total,edge,bet_direction,profit,result,edge_bucket,train_samples
2025-02-22,0022400807,PHI,BKN,208,213.5,221.8120033291987,8.312003329198689,,,,,828
2025-02-22,0022400808,DEN,LAL,223,240.66666666666666,235.07639312591755,-5.590273540749109,UNDER,100.0,WIN,5.0-6.0,828
2025-02-22,0022400809,UTA,HOU,239,228.66666666666666,231.41148970377805,2.744823037111388,,,,,828
2025-02-22,0022400810,POR,CHA,229,222.0,225.07603648509829,3.0760364850982853,,,,,828
2025-02-23,0022400817,MIL,MIA,233,221.5,225.22200056125743,3.722000561257431,,,,,833
2025-02-23,0022400815,ORL,WAS,200,216.33333333333334,217.41112763344697,1.0777943001136236,,,,,833
2025-02-23,0022400811,BOS,NYK,223,231.5,230.2113495115589,-1.2886504884411067,,,,,833
2025-02-23,0022400813,IND,LAC,240,230.5,234.89196786411233,4.391967864112331,OVER,100.0,WIN,4.0-5.0,833
2025-02-23,0022400814,ATL,DET,291,237.33333333333334,235.23969793240346,-2.093635400929884,,,,,833
2025-02-23,0022400818,NOP,SAS,210,239.5,233.0670760921793,-6.432923907820708,UNDER,100.0,WIN,6.0-8.0,833
2025-02-23,0022400816,TOR,PHX,236,227.5,226.4741192634153,-1.0258807365846963,,,,,833
2025-02-23,0022400819,CLE,MEM,252,249.5,235.2065459574363,-14.293454042563695,,,,,833
2025-02-23,0022400820,MIN,OKC,253,228.83333333333334,230.61836647467024,1.7850331413368963,,,,,833
2025-02-23,0022400812,GSW,DAL,228,228.5,229.40364231984893,0.9036423198489274,,,,,833
2025-02-24,0022400823,PHI,CHI,252,232.0,221.65647782628355,-10.343522173716451,,,,,843
2025-02-24,0022400821,DET,LAC,203,224.0,237.6795651553099,13.679565155309888,,,,,843
2025-02-24,0022400822,IND,DEN,241,246.33333333333334,242.81367312093232,-3.5196602124010212,,,,,843
2025-02-24,0022400824,WAS,BKN,206,214.16666666666666,226.98263581125596,12.815969144589303,,,,,843
2025-02-24,0022400828,SAC,CHA,218,231.16666666666666,229.68128783075505,-1.4853788359116038,,,,,843
2025-02-24,0022400827,UTA,POR,226,232.0,234.67137323869548,2.6713732386954803,,,,,843
2025-02-24,0022400826,OKC,MIN,259,227.16666666666666,232.95580809636718,5.789141429700521,OVER,100.0,WIN,5.0-6.0,843
2025-02-24,0022400825,ATL,MIA,184,227.16666666666666,234.2914215683417,7.124754901675033,OVER,-110.0,LOSS,6.0-8.0,843
2025-02-25,0022400834,GSW,CHA,220,222.5,218.59864043750017,-3.9013595624998345,,,,,851
2025-02-25,0022400833,NOP,SAS,212,237.83333333333334,227.3748665140343,-10.458466819299048,,,,,851
2025-02-25,0022400832,MEM,PHX,299,244.83333333333334,231.49253655641934,-13.340796776914004,,,,,851
2025-02-25,0022400835,LAL,DAL,206,231.5,230.3600599842322,-1.1399400157677917,,,,,851
2025-02-25,0022400830,ORL,CLE,204,224.16666666666666,223.9901530101614,-0.17651365650525008,,,,,851
2025-02-25,0022400829,TOR,BOS,212,226.33333333333334,229.79164412049877,3.4583107871654306,,,,,851
2025-02-25,0022400831,HOU,MIL,197,226.33333333333334,221.2351543705005,-5.098178962832833,UNDER,100.0,WIN,5.0-6.0,851
2025-02-26,0022400844,HOU,SAS,224,227.0,221.28063978444442,-5.719360215555582,UNDER,100.0,WIN,5.0-6.0,858
2025-02-26,0022400843,UTA,SAC,219,235.66666666666666,234.572749002891,-1.0939176637756702,,,,,858
2025-02-26,0022400842,CHI,LAC,239,228.0,234.10085947445813,6.100859474458133,OVER,100.0,WIN,6.0-8.0,858
2025-02-26,0022400841,MIA,ATL,240,229.16666666666666,225.44146517676117,-3.725201489905487,,,,,858
2025-02-26,0022400836,DET,BOS,214,225.83333333333334,236.81918070182672,10.985847368493381,,,,,858
2025-02-26,0022400839,WAS,POR,250,230.33333333333334,230.03858107625396,-0.2947522570793808,,,,,858
2025-02-26,0022400838,NYK,PHI,215,231.0,234.27928877866646,3.279288778666455,,,,,858
2025-02-26,0022400837,IND,TOR,202,235.83333333333334,231.9337860876478,-3.8995472456855396,,,,,858
2025-02-26,0022400840,BKN,OKC,250,217.16666666666666,223.17212788948385,6.005461222817189,OVER,100.0,WIN,6.0-8.0,858
2025-02-27,0022400845,ORL,GSW,236,210.5,218.99966451335936,8.499664513359363,,,,,867
2025-02-27,0022400847,DAL,CHA,199,223.33333333333334,217.41482427168125,-5.918509061652088,UNDER,100.0,WIN,5.0-6.0,867
2025-02-27,0022400846,MIL,DEN,233,240.16666666666666,230.60327626380456,-9.563390402862098,,,,,867
2025-02-27,0022400849,LAL,MIN,213,226.16666666666666,229.09403474759597,2.9273680809293126,,,,,867
2025-02-27,0022400848,PHX,NOP,240,235.66666666666666,232.83568330763913,-2.8309833590275275,,,,,867
2025-02-28,0022400854,MIA,IND,245,225.5,223.83834716856222,-1.6616528314377774,,,,,872
2025-02-28,0022400851,ATL,OKC,254,241.83333333333334,239.9854109739688,-1.8479223593645315,,,,,872
2025-02-28,0022400852,BOS,CLE,239,232.5,233.6370651208016,1.1370651208015943,,,,,872
2025-02-28,0022400853,BKN,POR,223,218.33333333333334,221.8191846106417,3.4858512773083703,,,,,872
2025-02-28,0022400850,DET,DEN,253,237.0,239.3909979947357,2.3909979947356987,,,,,872
2025-02-28,0022400855,CHI,TOR,240,235.33333333333334,229.31908773261193,-6.014245600721409,UNDER,-110.0,LOSS,6.0-8.0,872
2025-02-28,0022400856,MEM,NYK,227,245.0,235.7493796815681,-9.250620318431913,,,,,872
2025-02-28,0022400857,PHX,NOP,233,235.66666666666666,233.9705122811703,-1.6961543854963566,,,,,872
2025-02-28,0022400859,LAL,LAC,208,220.16666666666666,223.67084235198496,3.5041756853183017,,,,,872
2025-02-28,0022400858,UTA,MIN,233,226.33333333333334,232.4896061693677,6.156272836034361,OVER,100.0,WIN,6.0-8.0,872
2025-03-01,0022400860,CHA,WAS,213,219.66666666666666,224.92186607060216,5.2551994039355066,OVER,-110.0,LOSS,5.0-6.0,882
2025-03-01,0022400861,DET,BKN,209,218.16666666666666,229.45976229530487,11.293095628638213,,,,,882
2025-03-01,0022400862,HOU,SAC,216,228.0,227.68080300855772,-0.31919699144228275,,,,,882
2025-03-01,0022400863,MEM,SAS,258,242.33333333333334,228.88617516369396,-13.44715816963938,,,,,882
2025-03-01,0022400864,PHI,GSW,245,225.66666666666666,227.09929372299447,1.4326270563278172,,,,,882
2025-03-01,0022400865,DAL,MIL,249,227.66666666666666,221.9546386028336,-5.71202806383306,UNDER,-110.0,LOSS,5.0-6.0,882
2025-03-02,0022400869,MIA,NYK,228,223.0,225.80183743131803,2.8018374313180345,,,,,888
2025-03-02,0022400866,BOS,DEN,213,235.33333333333334,234.88627544525008,-0.44705788808326474,,,,,888
2025-03-02,0022400867,CLE,POR,262,234.33333333333334,228.61854852030933,-5.714784813024011,UNDER,-110.0,LOSS,5.0-6.0,888
2025-03-02,0022400874,LAL,LAC,210,219.83333333333334,221.35931781947255,1.5259844861392082,,,,,888
2025-03-02,0022400868,IND,CHI,239,243.16666666666666,229.88524742800087,-13.28141923866579,,,,,888
2025-03-02,0022400872,UTA,NOP,249,232.0,228.60587913085683,-3.3941208691431655,,,,,888
2025-03-02,0022400873,PHX,MIN,214,229.66666666666666,234.82684977491982,5.160183108253165,OVER,-110.0,LOSS,5.0-6.0,888
2025-03-02,0022400871,SAS,OKC,278,235.33333333333334,236.5474984349561,1.2141651016227684,,,,,888
2025-03-02,0022400870,ORL,TOR,206,211.5,216.0754522318017,4.575452231801705,OVER,-110.0,LOSS,4.0-5.0,888
2025-03-03,0022400875,CHA,GSW,220,224.33333333333334,228.28029783418128,3.9469645008479404,,,,,897
2025-03-03,0022400876,PHI,POR,221,228.16666666666666,226.87482068035268,-1.291845986313973,,,,,897
2025-03-03,0022400877,MIA,WAS,196,219.5,224.46767234470238,4.967672344702379,OVER,-110.0,LOSS,4.0-5.0,897
2025-03-03,0022400878,MEM,ATL,262,253.33333333333334,234.6367015876762,-18.69663174565713,,,,,897
2025-03-03,0022400879,OKC,HOU,265,226.83333333333334,236.18031514778409,9.346981814450743,,,,,897
2025-03-03,0022400880,DAL,SAC,220,231.5,228.71497951602603,-2.785020483973966,,,,,897
2025-03-03,0022400881,UTA,DET,240,232.16666666666666,232.10646884339633,-0.060197823270328854,,,,,897
2025-03-04,0022400886,CHI,CLE,256,246.0,239.05486493999004,-6.94513506000996,UNDER,-110.0,LOSS,6.0-8.0,904
2025-03-04,0022400883,ORL,TOR,227,209.5,213.14356094635326,3.6435609463532614,,,,,904
2025-03-04,0022400884,ATL,MIL,248,240.83333333333334,232.8678677499223,-7.9654655834110315,UNDER,-110.0,LOSS,6.0-8.0,904
2025-03-04,0022400885,NYK,GSW,216,231.16666666666666,232.27666537419688,1.1099987075302238,,,,,904
2025-03-04,0022400890,LAL,NOP,251,230.0,219.930533201492,-10.069466798507989,,,,,904
2025-03-04,0022400887,MIN,PHI,238,223.33333333333334,224.95274782171043,1.619414488377089,,,,,904
2025-03-04,0022400888,SAS,BKN,240,225.33333333333334,226.70454061651714,1.371207283183793,,,,,904
2025-03-04,0022400889,PHX,LAC,236,225.33333333333334,233.1112141729094,7.777880839576056,OVER,100.0,WIN,6.0-8.0,904
2025-03-04,0022400882,IND,HOU,217,230.33333333333334,226.9957404280408,-3.337592905292553,,,,,904
2025-03-05,0022400892,CHA,MIN,235,223.5,221.25221363893172,-2.247786361068279,,,,,913
2025-03-05,0022400894,WAS,UTA,247,230.5,223.3467929636321,-7.153207036367888,UNDER,-110.0,LOSS,6.0-8.0,913
2025-03-05,0022400891,BOS,POR,246,225.0,229.65044324520494,4.65044324520494,OVER,100.0,WIN,4.0-5.0,913
2025-03-05,0022400893,CLE,MIA,219,227.16666666666666,235.44499033830436,8.278323671637708,,,,,913
