market,submarket,model_name,split_year,n_test,auc,mae,brier,log_loss_val,brier_skill,cal_slope,cal_intercept,is_monotonic,pos_rate,avg_precision,feature_group
F5_TeamTotals,home_over_3.0,LogReg,2023,2430,0.5171,0.4016,0.2317,0.6833,-0.0874,0.0641,-0.7328,True,0.3078,0.3225,all
F5_TeamTotals,home_over_3.0,LightGBM,2023,2430,0.507,0.3954,0.2315,0.6848,-0.0866,0.052,-0.7422,False,0.3078,0.3276,all
F5_TeamTotals,home_over_3.0,LGB_tuned,2023,2430,0.5216,0.4028,0.2236,0.6519,-0.0496,0.1329,-0.6601,True,0.3078,0.3318,all
F5_TeamTotals,home_over_3.0,LogReg,2024,2430,0.5553,0.4092,0.211,0.6207,-0.0245,0.2388,-0.6885,True,0.2901,0.3296,all
F5_TeamTotals,home_over_3.0,LightGBM,2024,2430,0.5526,0.3997,0.21,0.6147,-0.0197,0.3077,-0.59,True,0.2901,0.3322,all
F5_TeamTotals,home_over_3.0,LGB_tuned,2024,2430,0.5597,0.4048,0.2067,0.6049,-0.0036,0.4322,-0.5024,True,0.2901,0.3396,all
F5_TeamTotals,home_over_3.0,LogReg,2025,2430,0.5547,0.4104,0.2129,0.6184,-0.007,0.4061,-0.4593,True,0.3037,0.3469,all
F5_TeamTotals,home_over_3.0,LightGBM,2025,2430,0.5293,0.4088,0.2165,0.6275,-0.0238,0.2513,-0.5819,True,0.3037,0.3271,all
F5_TeamTotals,home_over_3.0,LGB_tuned,2025,2430,0.5289,0.412,0.2143,0.6213,-0.0132,0.301,-0.5473,True,0.3037,0.3283,all
F5_TeamTotals,away_over_1.5,LogReg,2023,2430,0.5105,0.4979,0.2852,0.7888,-0.1724,0.0316,0.3341,True,0.5823,0.5976,all
F5_TeamTotals,away_over_1.5,LightGBM,2023,2430,0.5319,0.4864,0.2674,0.7377,-0.0992,0.1253,0.3159,True,0.5823,0.6073,all
F5_TeamTotals,away_over_1.5,LGB_tuned,2023,2430,0.5339,0.4879,0.2602,0.7177,-0.0696,0.1713,0.3147,True,0.5823,0.6105,all
F5_TeamTotals,away_over_1.5,LogReg,2024,2430,0.5439,0.4846,0.251,0.6981,-0.0213,0.2673,0.2004,True,0.565,0.5998,all
F5_TeamTotals,away_over_1.5,LightGBM,2024,2430,0.5526,0.4789,0.2507,0.6969,-0.02,0.33,0.1648,True,0.565,0.6051,all
F5_TeamTotals,away_over_1.5,LGB_tuned,2024,2430,0.5357,0.484,0.2508,0.6958,-0.0206,0.2814,0.1802,True,0.565,0.6006,all
F5_TeamTotals,away_over_1.5,LogReg,2025,2430,0.5628,0.4812,0.247,0.6884,0.0012,0.485,0.0717,True,0.5523,0.606,all
F5_TeamTotals,away_over_1.5,LightGBM,2025,2430,0.5605,0.4811,0.2483,0.6912,-0.004,0.4389,0.0781,True,0.5523,0.5931,all
F5_TeamTotals,away_over_1.5,LGB_tuned,2025,2430,0.5626,0.4826,0.2466,0.6866,0.0028,0.5295,0.06,True,0.5523,0.6092,all
F5_TeamTotals,away_over_2.0,LogReg,2023,2430,0.5337,0.4641,0.2641,0.7427,-0.0878,0.1509,-0.2365,True,0.4152,0.4475,all
F5_TeamTotals,away_over_2.0,LightGBM,2023,2430,0.5359,0.4631,0.2636,0.7381,-0.0855,0.156,-0.2223,True,0.4152,0.443,all
F5_TeamTotals,away_over_2.0,LGB_tuned,2023,2430,0.543,0.4663,0.2549,0.7109,-0.0497,0.2287,-0.1956,True,0.4152,0.4451,all
F5_TeamTotals,away_over_2.0,LogReg,2024,2430,0.5295,0.4709,0.2473,0.6908,-0.043,0.1824,-0.384,True,0.3864,0.4113,all
F5_TeamTotals,away_over_2.0,LightGBM,2024,2430,0.53,0.4693,0.2472,0.6912,-0.0424,0.1874,-0.3777,True,0.3864,0.4171,all
