column,dtype,null_pct,n_unique,category,safe_as_feature,suspicious,in_production_model
home_pos2_run_opp_1_2_behind_slg,float64,0.01,8949,NON-PRODUCTION COLUMN,True,False,False
home_pos2_run_opp_1_2_behind_iso,float64,0.01,6879,NON-PRODUCTION COLUMN,True,False,False
home_pos2_run_opp_1_4_behind_slg,float64,0.01,9716,NON-PRODUCTION COLUMN,True,False,False
home_pos2_run_opp_1_4_behind_iso,float64,0.01,9650,NON-PRODUCTION COLUMN,True,False,False
home_pos2_ahead_1_2_hr_per_pa,float64,0.01,4381,NON-PRODUCTION COLUMN,True,False,False
home_pos2_behind_1_2_hr_per_pa,float64,0.01,5048,NON-PRODUCTION COLUMN,True,False,False
home_pos3_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos3_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos3_rbi_opp_1_2_ahead_obp,float64,0.01,8387,NON-PRODUCTION COLUMN,True,False,False
home_pos3_rbi_opp_1_4_ahead_obp,float64,0.01,9713,NON-PRODUCTION COLUMN,True,False,False
home_pos3_run_opp_1_2_behind_slg,float64,0.01,8931,NON-PRODUCTION COLUMN,True,False,False
home_pos3_run_opp_1_2_behind_iso,float64,0.01,6658,NON-PRODUCTION COLUMN,True,False,False
home_pos3_run_opp_1_4_behind_slg,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
home_pos3_run_opp_1_4_behind_iso,float64,0.01,9596,NON-PRODUCTION COLUMN,True,False,False
home_pos3_ahead_1_2_hr_per_pa,float64,0.01,4882,NON-PRODUCTION COLUMN,True,False,False
home_pos3_behind_1_2_hr_per_pa,float64,0.01,5197,NON-PRODUCTION COLUMN,True,False,False
home_pos4_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos4_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos4_rbi_opp_1_2_ahead_obp,float64,0.01,8189,NON-PRODUCTION COLUMN,True,False,False
home_pos4_rbi_opp_1_4_ahead_obp,float64,0.01,9718,NON-PRODUCTION COLUMN,True,False,False
home_pos4_run_opp_1_2_behind_slg,float64,0.01,8882,NON-PRODUCTION COLUMN,True,False,False
home_pos4_run_opp_1_2_behind_iso,float64,0.01,6117,NON-PRODUCTION COLUMN,True,False,False
home_pos4_run_opp_1_4_behind_slg,float64,0.01,9719,NON-PRODUCTION COLUMN,True,False,False
home_pos4_run_opp_1_4_behind_iso,float64,0.01,9428,NON-PRODUCTION COLUMN,True,False,False
home_pos4_ahead_1_2_hr_per_pa,float64,0.01,4943,NON-PRODUCTION COLUMN,True,False,False
home_pos4_behind_1_2_hr_per_pa,float64,0.01,5006,NON-PRODUCTION COLUMN,True,False,False
home_pos5_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos5_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos5_rbi_opp_1_2_ahead_obp,float64,0.01,8161,NON-PRODUCTION COLUMN,True,False,False
home_pos5_rbi_opp_1_4_ahead_obp,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
home_pos5_run_opp_1_2_behind_slg,float64,0.01,8869,NON-PRODUCTION COLUMN,True,False,False
home_pos5_run_opp_1_2_behind_iso,float64,0.01,5526,NON-PRODUCTION COLUMN,True,False,False
home_pos5_run_opp_1_4_behind_slg,float64,0.01,9715,NON-PRODUCTION COLUMN,True,False,False
home_pos5_run_opp_1_4_behind_iso,float64,0.01,9068,NON-PRODUCTION COLUMN,True,False,False
home_pos5_ahead_1_2_hr_per_pa,float64,0.01,5048,NON-PRODUCTION COLUMN,True,False,False
home_pos5_behind_1_2_hr_per_pa,float64,0.01,4550,NON-PRODUCTION COLUMN,True,False,False
home_pos6_batting_order,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos6_expected_pa,float64,0.01,1,NON-PRODUCTION COLUMN,True,False,False
home_pos6_rbi_opp_1_2_ahead_obp,float64,0.01,8371,NON-PRODUCTION COLUMN,True,False,False
home_pos6_rbi_opp_1_4_ahead_obp,float64,0.01,9712,NON-PRODUCTION COLUMN,True,False,False
home_pos6_run_opp_1_2_behind_slg,float64,0.01,8793,NON-PRODUCTION COLUMN,True,False,False
home_pos6_run_opp_1_2_behind_iso,float64,0.01,4925,NON-PRODUCTION COLUMN,True,False,False
home_pos6_run_opp_1_4_behind_slg,float64,0.01,9717,NON-PRODUCTION COLUMN,True,False,False
home_pos6_run_opp_1_4_behind_iso,float64,0.01,9209,NON-PRODUCTION COLUMN,True,False,False
home_pos6_ahead_1_2_hr_per_pa,float64,0.01,5197,NON-PRODUCTION COLUMN,True,False,False
