side,threshold,n_bets,n_wins,win_rate,total_profit,roi,total_profit_fair,roi_fair,avg_edge,median_edge,fold,phase,model,train_start,train_end,test_start,test_end,train_n,test_n
YES,0.55,27,23,0.8518518518518519,99.49999999999999,36.85185185185185,112.18450278257494,41.54981584539812,0.08631149623032137,0.11177206749529778,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.6,22,20,0.9090909090909091,102.1,46.40909090909091,113.21263705185265,51.46028956902393,0.12032892578115749,0.11491060503210904,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.65,18,16,0.8888888888888888,74.3,41.27777777777777,82.93968935895636,46.0776051994202,0.13475573429934787,0.13004613289989064,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.5,30,17,0.5666666666666667,66.3,22.1,79.00776842271098,26.335922807570327,0.22804334310983296,0.2308482073243677,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.55,24,15,0.625,80.49999999999999,33.54166666666666,91.61905391279515,38.17460579699798,0.25479705591666235,0.24473747580640307,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.6,18,12,0.6666666666666666,73.39999999999999,40.77777777777777,82.19349308634646,45.66305171463693,0.28422961158381344,0.26178848822029327,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
NO,0.65,13,10,0.7692307692307693,75.89999999999999,58.38461538461538,83.1483317960239,63.9602552277107,0.30618764371949536,0.2884579876524904,3,Phase 1: Baseline,poisson,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.5,56,34,0.6071428571428571,-19.2,-3.428571428571429,-0.6957777861647827,-0.12424603324371121,0.0056093844008222125,-0.0020664175098077386,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.55,45,30,0.6666666666666666,27.400000000000006,6.08888888888889,43.77768822741015,9.728375161646701,0.019758326833542755,0.01785020665414916,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.6,29,19,0.6551724137931034,13.400000000000006,4.6206896551724155,23.873027662398087,8.232078504275202,0.05064825743162981,0.04187015991760801,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
YES,0.65,11,8,0.7272727272727273,16.5,15.0,21.003370368008426,19.093973061825842,0.0967619426884165,0.08413212851192708,3,Phase 1: Baseline,random_forest,2023-08-11,2024-10-21,2024-10-25,2024-12-22,460,89
