fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
1,Phase 2: Modern ML,lightgbm,0.65,-28.5625,-26.12425646703268,32,-91.4,-83.59762069450457,15,17,320.0,0.1940342040468988,0.19843544036680683,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,xgboost,0.5,-16.780487804878046,-13.960810203644506,41,-68.8,-57.23932183494247,22,19,410.0,0.1135861219509758,0.11555425649465517,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,xgboost,0.55,-12.512820512820516,-9.54854406024166,39,-48.80000000000001,-37.23932183494247,22,17,390.0,0.12894408716438058,0.14063804659224655,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,xgboost,0.6,-19.470588235294116,-16.75398919898155,34,-66.2,-56.96356327653727,18,16,340.0,0.15359992302973158,0.15536324336140533,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,xgboost,0.65,-16.483870967741936,-13.671530675715832,31,-51.10000000000001,-42.38174509471908,17,14,310.0,0.16881771746311153,0.17125069761868594,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,catboost,0.5,-14.272727272727273,-11.377512282235628,44,-62.8,-50.06105404183677,25,19,440.0,0.14414719912189436,0.16526384979836806,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,catboost,0.55,-15.0,-12.121055646207882,41,-61.5,-49.69632814945231,23,18,410.0,0.16656127974852428,0.17491819067129577,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,catboost,0.6,-15.0,-12.121055646207882,41,-61.5,-49.69632814945231,23,18,410.0,0.16656127974852428,0.17491819067129577,2023-08-11,2024-03-11,2024-03-13,2024-05-11
1,Phase 2: Modern ML,catboost,0.65,-16.700000000000003,-13.878454660937223,40,-66.80000000000001,-55.51381864374889,22,18,400.0,0.1709600758258903,0.17515018216344247,2023-08-11,2024-03-11,2024-03-13,2024-05-11
2,Phase 1: Baseline,logistic,0.5,17.139999999999997,21.181867270252607,50,85.69999999999999,105.90933635126302,35,15,500.0,-0.008926710678909265,-0.007341843365810952,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,logistic,0.55,13.893617021276592,17.81343315558221,47,65.29999999999998,83.72313583123638,32,15,470.0,-0.005852302646437092,-0.007318754671034489,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,logistic,0.6,6.478260869565217,10.125562218607492,23,14.899999999999999,23.28879310279723,15,8,230.0,-0.00380032525397809,-0.012388024915582219,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,logistic,0.65,61.5,66.80522665054333,2,12.3,13.361045330108666,2,0,20.0,0.0398694593189165,0.0398694593189165,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,poisson,0.5,21.458333333333332,25.643910349242937,24,51.5,61.545384838183054,18,6,240.0,0.003839664865280659,-0.006411833239008569,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,poisson,0.55,15.555555555555559,19.533737483623696,18,28.000000000000004,35.16072747052265,13,5,180.0,0.03388920891142913,0.0022931860651289604,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,poisson,0.6,37.230769230769226,41.96244761583158,13,48.4,54.55118190058105,11,2,130.0,0.07239547630751146,0.06503641132334625,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,poisson,0.65,64.77777777777777,70.42793664478316,9,58.3,63.38514298030484,9,0,90.0,0.12572816450475896,0.140699468828678,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,random_forest,0.5,14.545454545454541,18.523599418873328,44,63.99999999999998,81.50383744304264,30,14,440.0,-0.011479721032581758,-0.02809559778457893,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,random_forest,0.55,15.124999999999996,19.12184109914465,32,48.39999999999999,61.18989151726288,22,10,320.0,0.009713546860906554,-0.011745641208228907,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,random_forest,0.6,0.5294117647058795,3.8546355158267995,17,0.899999999999995,6.552880376905559,11,6,170.0,0.027231697724834712,0.008602135295445401,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 1: Baseline,random_forest,0.65,-23.300000000000004,-20.73521034751447,10,-23.300000000000004,-20.73521034751447,5,5,100.0,0.0598562306087444,0.04518238343834946,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,lightgbm,0.5,11.586206896551719,15.503115548916963,29,33.59999999999999,44.95903509185919,19,10,290.0,0.2140971191719256,0.21576494274392288,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,lightgbm,0.55,5.851851851851849,9.557585301223853,27,15.799999999999994,25.805480313304404,17,10,270.0,0.22928560098149006,0.2159123293826679,2023-08-11,2024-09-01,2024-09-14,2024-11-04
2,Phase 2: Modern ML,lightgbm,0.6,5.851851851851849,9.557585301223853,27,15.799999999999994,25.805480313304404,17,10,270.0,0.22928560098149006,0.2159123293826679,2023-08-11,2024-09-01,2024-09-14,2024-11-04
