fold,phase,model,threshold,roi,roi_fair,n_bets,profit,profit_fair,wins,losses,total_staked,avg_edge,median_edge,train_start,train_end,test_start,test_end
6,Phase 1: Baseline,poisson,0.6,67.4,73.16596924087577,10,67.4,73.16596924087577,10,0,100.0,0.08022279390178946,0.08411822815975206,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,poisson,0.65,61.50000000000001,66.95265036694863,6,36.900000000000006,40.17159022016918,6,0,60.0,0.10171131923232084,0.08411822815975206,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,random_forest,0.5,11.375,15.208012103295118,48,54.6,72.99845809581657,30,18,480.0,0.05362864372859775,0.06468753139043082,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,random_forest,0.55,13.51219512195122,17.41182983468249,41,55.4,71.3885023221982,26,15,410.0,0.07101501398593357,0.07549026062655284,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,random_forest,0.6,8.103448275862068,11.855129349190928,29,23.5,34.37987511265369,18,11,290.0,0.08788962854963743,0.09652697000484134,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 1: Baseline,random_forest,0.65,14.857142857142854,18.917273000208766,14,20.799999999999997,26.48418220029227,9,5,140.0,0.11527668453116917,0.11921011508655244,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,lightgbm,0.5,8.071428571428571,11.773511229492204,42,33.9,49.44874716386726,25,17,420.0,0.2633249203680544,0.2744881501213207,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,lightgbm,0.55,7.051282051282053,10.740990368318768,39,27.500000000000007,41.889862436443195,23,16,390.0,0.28539193721428135,0.2881429187994764,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,lightgbm,0.6,7.540540540540539,11.25083306263004,37,27.89999999999999,41.62808233173115,22,15,370.0,0.2983142029158312,0.2893560603669071,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,lightgbm,0.65,7.205882352941175,10.922622962197577,34,24.499999999999993,37.13691807147176,20,14,340.0,0.3186921078912374,0.30849998521583,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,xgboost,0.5,16.487804878048777,20.49293889094395,41,67.6,84.02104945287019,27,14,410.0,0.2193275165221281,0.22241058191621155,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,xgboost,0.55,10.783783783783782,14.586069281795941,37,39.9,53.96845634264498,23,14,370.0,0.25107006514906977,0.25171085766383583,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,xgboost,0.6,6.314285714285712,9.952572160323534,35,22.099999999999994,34.83400256113237,21,14,350.0,0.26259069315773687,0.2842148115180131,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,xgboost,0.65,4.875,8.45855222959473,32,15.600000000000001,27.067367134703133,19,13,320.0,0.27926201609180057,0.28592240323825757,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,catboost,0.5,8.951219512195122,12.694295190355497,41,36.699999999999996,52.04661028045754,25,16,410.0,0.15904378769293712,0.1609053842436734,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,catboost,0.55,1.542857142857142,5.060316165474429,35,5.399999999999997,17.711106579160504,20,15,350.0,0.19514648363042986,0.1946913168986809,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,catboost,0.6,-7.758620689655173,-4.576406409593354,29,-22.5,-13.271578587820727,15,14,290.0,0.2359826866778128,0.2549000158183411,2023-08-11,2025-02-27,2025-03-08,2025-05-05
6,Phase 2: Modern ML,catboost,0.65,-11.571428571428571,-8.540460649202588,28,-32.4,-23.913289817767247,14,14,280.0,0.24022990527899615,0.2709743038977623,2023-08-11,2025-02-27,2025-03-08,2025-05-05
