player,date,side,line,oddsDec,pCal,stake,won,profit_pred_only,edge_abs,lastShots,L10_toi,books,lineStd
Jesper Bratt,2024-04-15,under,3.2142857142857144,2.500,0.613,0.195,1,0.5323,0.297,1,20.66,7,0.452
Jason Robertson,2024-04-17,under,3,2.100,0.613,0.144,0,0.2871,0.269,3,17.76,4,0.500
Connor Bedard,2024-04-18,under,2.9,2.050,0.613,0.134,1,0.2565,0.358,1,20.36,5,0.490
Matthew Knies,2024-10-10,under,2.25,2.480,0.613,0.193,0,0.5200,0.479,5,12.43,4,0.433
Morgan Rielly,2024-10-10,under,2.25,2.500,0.613,0.195,1,0.5323,0.217,4,23.08,4,0.433
Steven Stamkos,2024-10-10,under,2.75,2.350,0.585,0.153,0,0.3752,0.158,2,18.37,4,0.433
Adrian Kempe,2024-10-12,under,3.3333333333333335,2.380,0.613,0.183,1,0.4587,0.765,0,19.59,6,0.373
Steven Stamkos,2024-10-12,under,3.3333333333333335,2.400,0.613,0.185,0,0.4710,0.579,3,18.99,6,0.373
Brady Tkachuk,2024-10-12,under,4.333333333333333,2.350,0.585,0.153,1,0.3752,0.028,5,20.39,6,0.373
Alex Ovechkin,2024-10-12,under,2.8333333333333335,2.300,0.613,0.173,1,0.4097,0.222,1,19.07,6,0.471
Jake Guentzel,2024-10-15,under,3.3333333333333335,2.500,0.613,0.195,1,0.5323,0.252,2,17.32,6,0.373
Steven Stamkos,2024-10-15,under,3.3,2.450,0.585,0.164,1,0.4337,0.076,5,19.22,5,0.400
Tyler Bertuzzi,2024-10-15,under,2.3333333333333335,2.400,0.613,0.185,1,0.4710,0.452,1,16.07,6,0.373
Owen Tippett,2024-10-15,under,3.3333333333333335,2.450,0.613,0.190,0,0.5016,0.365,2,17.29,6,0.373
Nikolaj Ehlers,2024-10-18,under,2.6666666666666665,2.450,0.613,0.190,0,0.5016,0.376,2,14.25,6,0.373
Brady Tkachuk,2024-10-19,under,4.357142857142857,2.250,0.533,0.088,0,0.2000,0.006,3,20.17,7,0.350
Zach Hyman,2024-10-19,under,3.357142857142857,2.340,0.613,0.178,0,0.4342,0.622,5,19.04,7,0.350
Alex Ovechkin,2024-10-19,under,2.6666666666666665,2.360,0.585,0.154,0,0.3810,0.087,2,18.34,6,0.373
Tyler Bertuzzi,2024-10-19,under,2.3333333333333335,2.500,0.613,0.195,1,0.5323,0.363,1,16.47,6,0.373
Sidney Crosby,2024-10-20,under,3.3333333333333335,2.400,0.613,0.185,0,0.4710,0.773,0,20.20,6,0.373
Troy Terry,2024-10-20,under,2.3,2.380,0.585,0.157,1,0.3927,0.049,2,17.25,5,0.400
Phillip Danault,2024-10-20,under,2.25,2.460,0.613,0.191,1,0.5077,0.298,1,17.90,4,0.433
Trevor Moore,2024-10-20,under,3.1,2.260,0.613,0.168,1,0.3852,0.366,4,17.35,5,0.490
Chris Kreider,2024-10-22,under,3,2.400,0.585,0.159,1,0.4044,0.055,4,17.46,4,0.500
