date,home,away,home_score,away_score,btts,total_goals,season
2020-12-16,Arminia Bielefeld,(0-0)  FC Augsburg,0,1,0,1,2020-21
2020-12-16,TSG 1899 Hoffenheim,(0-0)  RB Leipzig,0,1,0,1,2020-21
2020-12-16,1. FC Köln,(0-2)  Bayer 04 Leverkusen,0,4,0,4,2020-21
2020-12-18,20.30  1. FC Union Berlin,(0-0)  Borussia Dortmund,2,1,1,3,2020-21
2020-12-19,18.30  Bayer 04 Leverkusen,(1-1)  FC Bayern München,1,2,1,3,2020-21
2020-12-19,RB Leipzig,1. FC Köln,0,0,0,0,2020-21
2020-12-19,FC Augsburg,(0-0)  Eintracht Frankfurt,0,2,0,2,2020-21
2020-12-19,1. FSV Mainz 05,(0-0)  SV Werder Bremen,0,1,0,1,2020-21
2020-12-19,Borussia Mönchengladbach,(1-0)  TSG 1899 Hoffenheim,1,2,1,3,2020-21
2020-12-19,15.30  FC Schalke 04,(0-0)  Arminia Bielefeld,0,1,0,1,2020-21
2020-12-20,15.30  SC Freiburg,(1-0)  Hertha BSC,4,1,1,5,2020-21
2020-12-20,18.00  VfL Wolfsburg,(0-0)  VfB Stuttgart,1,0,0,1,2020-21
2021-01-02,20.30  VfB Stuttgart,(0-0)  RB Leipzig,0,1,0,1,2020-21
2021-01-02,18.30  Hertha BSC,(1-0)  FC Schalke 04,3,0,0,3,2020-21
2021-01-02,TSG 1899 Hoffenheim,(0-3)  SC Freiburg,1,3,1,4,2020-21
2021-01-02,Arminia Bielefeld,(0-0)  Borussia Mönchengladbach,0,1,0,1,2020-21
2021-01-02,SV Werder Bremen,(0-2)  1. FC Union Berlin,0,2,0,2,2020-21
2021-01-02,Eintracht Frankfurt,(1-1)  Bayer 04 Leverkusen,2,1,1,3,2020-21
2021-01-02,15.30  1. FC Köln,(0-0)  FC Augsburg,0,1,0,1,2020-21
2021-01-03,15.30  Borussia Dortmund,(0-0)  VfL Wolfsburg,2,0,0,2,2020-21
