date,home,away,home_score,away_score,btts,total_goals,season
2020-12-13,Bologna FC 1909,(1-5)  AS Roma,1,5,1,6,2020-21
2020-12-13,18.00  Genoa CFC,(0-0)  Juventus FC,1,3,1,4,2020-21
2020-12-13,15.00  SSC Napoli,(0-1)  UC Sampdoria,2,1,1,3,2020-21
2020-12-13,12.45  Cagliari Calcio,(1-0)  FC Internazionale Milano,1,3,1,4,2020-21
2020-12-13,Atalanta BC,(1-0)  ACF Fiorentina,3,0,0,3,2020-21
2020-12-15,18.30  Udinese Calcio,FC Crotone,0,0,0,0,2020-21
2020-12-15,20.45  Benevento Calcio,(1-1)  SS Lazio,1,1,1,2,2020-21
2020-12-16,18.30  Juventus FC,(1-0)  Atalanta BC,1,1,1,2,2020-21
2020-12-16,20.45  FC Internazionale Milano,(0-0)  SSC Napoli,1,0,0,1,2020-21
2020-12-16,ACF Fiorentina,(1-1)  US Sassuolo Calcio,1,1,1,2,2020-21
2020-12-16,Parma Calcio 1913,Cagliari Calcio,0,0,0,0,2020-21
2020-12-16,Genoa CFC,(0-0)  AC Milan,2,2,1,4,2020-21
2020-12-16,Spezia Calcio,(1-0)  Bologna FC 1909,2,2,1,4,2020-21
2020-12-16,Hellas Verona FC,(0-1)  UC Sampdoria,1,2,1,3,2020-21
2020-12-17,20.45  AS Roma,(2-0)  Torino FC,3,1,1,4,2020-21
2020-12-19,20.45  Parma Calcio 1913,(0-2)  Juventus FC,0,4,0,4,2020-21
2020-12-19,15.00  ACF Fiorentina,(1-1)  Hellas Verona FC,1,1,1,2,2020-21
2020-12-19,18.00  UC Sampdoria,(2-1)  FC Crotone,3,1,1,4,2020-21
2020-12-20,12.30  Torino FC,(0-0)  Bologna FC 1909,1,1,1,2,2020-21
2020-12-20,15.00  FC Internazionale Milano,(0-0)  Spezia Calcio,2,1,1,3,2020-21
2020-12-20,Cagliari Calcio,(1-0)  Udinese Calcio,1,1,1,2,2020-21
2020-12-20,US Sassuolo Calcio,(0-2)  AC Milan,1,2,1,3,2020-21
2020-12-20,Benevento Calcio,(0-0)  Genoa CFC,2,0,0,2,2020-21
2020-12-20,18.00  Atalanta BC,(0-1)  AS Roma,4,1,1,5,2020-21
2020-12-20,20.45  SS Lazio,(1-0)  SSC Napoli,2,0,0,2,2020-21
2020-12-22,20.45  Juventus FC,(0-1)  ACF Fiorentina,0,3,0,3,2020-21
2020-12-22,18.30  FC Crotone,(2-0)  Parma Calcio 1913,2,1,1,3,2020-21
2020-12-23,Bologna FC 1909,(0-2)  Atalanta BC,2,2,1,4,2020-21
2020-12-23,UC Sampdoria,(0-1)  US Sassuolo Calcio,2,3,1,5,2020-21
2020-12-23,Udinese Calcio,(0-1)  Benevento Calcio,0,2,0,2,2020-21
2020-12-23,20.45  SSC Napoli,(0-0)  Torino FC,1,1,1,2,2020-21
2020-12-23,AS Roma,(1-0)  Cagliari Calcio,3,2,1,5,2020-21
2020-12-23,18.30  Hellas Verona FC,(0-0)  FC Internazionale Milano,1,2,1,3,2020-21
2020-12-23,Spezia Calcio,(1-1)  Genoa CFC,1,2,1,3,2020-21
2020-12-23,AC Milan,(2-1)  SS Lazio,3,2,1,5,2020-21
2021-01-03,20.45  Juventus FC,(1-0)  Udinese Calcio,4,1,1,5,2020-21
2021-01-03,Genoa CFC,(0-1)  SS Lazio,1,1,1,2,2020-21
2021-01-03,18.00  Benevento Calcio,(0-1)  AC Milan,0,2,0,2,2020-21
2021-01-03,Spezia Calcio,(0-0)  Hellas Verona FC,0,1,0,1,2020-21
2021-01-03,Cagliari Calcio,(0-1)  SSC Napoli,1,4,1,5,2020-21
2021-01-03,AS Roma,(0-0)  UC Sampdoria,1,0,0,1,2020-21
2021-01-03,Parma Calcio 1913,(0-1)  Torino FC,0,3,0,3,2020-21
2021-01-03,12.30  FC Internazionale Milano,(2-2)  FC Crotone,6,2,1,8,2020-21
2021-01-03,Atalanta BC,(2-0)  US Sassuolo Calcio,5,1,1,6,2020-21
2021-01-03,15.00  ACF Fiorentina,Bologna FC 1909,0,0,0,0,2020-21
2021-01-06,12.30  Cagliari Calcio,(1-2)  Benevento Calcio,1,2,1,3,2020-21
2021-01-06,15.00  SS Lazio,(1-0)  ACF Fiorentina,2,1,1,3,2020-21
2021-01-06,UC Sampdoria,(2-0)  FC Internazionale Milano,2,1,1,3,2020-21
2021-01-06,Torino FC,(0-0)  Hellas Verona FC,1,1,1,2,2020-21
2021-01-06,Bologna FC 1909,(2-1)  Udinese Calcio,2,2,1,4,2020-21
2021-01-06,FC Crotone,(0-3)  AS Roma,1,3,1,4,2020-21
2021-01-06,15.05  Atalanta BC,(1-0)  Parma Calcio 1913,3,0,0,3,2020-21
2021-01-06,18.00  SSC Napoli,(0-0)  Spezia Calcio,1,2,1,3,2020-21
2021-01-06,20.45  AC Milan,(1-1)  Juventus FC,1,3,1,4,2020-21
2021-01-06,US Sassuolo Calcio,(0-0)  Genoa CFC,2,1,1,3,2020-21
2021-01-09,15.00  Benevento Calcio,(0-1)  Atalanta BC,1,4,1,5,2020-21
2021-01-09,18.00  Genoa CFC,(1-0)  Bologna FC 1909,2,0,0,2,2020-21
2021-01-09,20.45  AC Milan,(2-0)  Torino FC,2,0,0,2,2020-21
2021-01-10,20.45  Juventus FC,(0-0)  US Sassuolo Calcio,3,1,1,4,2020-21
2021-01-10,18.05  ACF Fiorentina,(0-0)  Cagliari Calcio,1,0,0,1,2020-21
2021-01-10,Hellas Verona FC,(2-0)  FC Crotone,2,1,1,3,2020-21
2021-01-10,15.00  Parma Calcio 1913,(0-0)  SS Lazio,0,2,0,2,2020-21
2021-01-10,12.30  AS Roma,(1-0)  FC Internazionale Milano,2,2,1,4,2020-21
